X,CellID,ClusterID,EventID,File.Name,Region,TMA_AB,TMA_12,Index.in.File,groups,patients,spots,CD44...stroma.Cyc_2_ch_2,FOXP3...regulatory.T.cells.Cyc_2_ch_3,CD8...cytotoxic.T.cells.Cyc_3_ch_2,p53...tumor.suppressor.Cyc_3_ch_3,GATA3...Th2.helper.T.cells.Cyc_3_ch_4,CD45...hematopoietic.cells.Cyc_4_ch_2,T.bet...Th1.cells.Cyc_4_ch_3,beta.catenin...Wnt.signaling.Cyc_4_ch_4,HLA.DR...MHC.II.Cyc_5_ch_2,PD.L1...checkpoint.Cyc_5_ch_3,Ki67...proliferation.Cyc_5_ch_4,CD45RA...naive.T.cells.Cyc_6_ch_2,CD4...T.helper.cells.Cyc_6_ch_3,CD21...DCs.Cyc_6_ch_4,MUC.1...epithelia.Cyc_7_ch_2,CD30...costimulator.Cyc_7_ch_3,CD2...T.cells.Cyc_7_ch_4,Vimentin...cytoplasm.Cyc_8_ch_2,CD20...B.cells.Cyc_8_ch_3,LAG.3...checkpoint.Cyc_8_ch_4,Na.K.ATPase...membranes.Cyc_9_ch_2,CD5...T.cells.Cyc_9_ch_3,IDO.1...metabolism.Cyc_9_ch_4,Cytokeratin...epithelia.Cyc_10_ch_2,CD11b...macrophages.Cyc_10_ch_3,CD56...NK.cells.Cyc_10_ch_4,aSMA...smooth.muscle.Cyc_11_ch_2,BCL.2...apoptosis.Cyc_11_ch_3,CD25...IL.2.Ra.Cyc_11_ch_4,CD11c...DCs.Cyc_12_ch_3,PD.1...checkpoint.Cyc_12_ch_4,Granzyme.B...cytotoxicity.Cyc_13_ch_2,EGFR...signaling.Cyc_13_ch_3,VISTA...costimulator.Cyc_13_ch_4,CD15...granulocytes.Cyc_14_ch_2,ICOS...costimulator.Cyc_14_ch_4,Synaptophysin...neuroendocrine.Cyc_15_ch_3,GFAP...nerves.Cyc_16_ch_2,CD7...T.cells.Cyc_16_ch_3,CD3...T.cells.Cyc_16_ch_4,Chromogranin.A...neuroendocrine.Cyc_17_ch_2,CD163...macrophages.Cyc_17_ch_3,CD45RO...memory.cells.Cyc_18_ch_3,CD68...macrophages.Cyc_18_ch_4,CD31...vasculature.Cyc_19_ch_3,Podoplanin...lymphatics.Cyc_19_ch_4,CD34...vasculature.Cyc_20_ch_3,CD38...multifunctional.Cyc_20_ch_4,CD138...plasma.cells.Cyc_21_ch_3,cell_id.cell_id,tile_nr.tile_nr,X.X,Y.Y,X_withinTile.X_withinTile,Y_withinTile.Y_withinTile,Z.Z,size.size,HOECHST1.Cyc_1_ch_1,CDX2...intestinal.epithelia.Cyc_2_ch_4,Collagen.IV...bas..memb..Cyc_12_ch_2,CD194...CCR4.chemokine.R.Cyc_14_ch_3,MMP9...matrix.metalloproteinase.Cyc_15_ch_2,CD71...transferrin.R.Cyc_15_ch_4,CD57...NK.cells.Cyc_17_ch_4,MMP12...matrix.metalloproteinase.Cyc_21_ch_4,DRAQ5.Cyc_23_ch_4,Profile_Homogeneity.Fiter1,ClusterSize,ClusterName,neighborhood10,CD4.ICOS.,CD4.Ki67.,CD4.PD.1.,CD68.CD163.ICOS.,CD68.CD163.Ki67.,CD68.CD163.PD.1.,CD68.ICOS.,CD68.Ki67.,CD68.PD.1.,CD8.ICOS.,CD8.Ki67.,CD8.PD.1.,Treg.ICOS.,Treg.Ki67.,Treg.PD.1.,neighborhood.number.final,neighborhood.name
0,0,10668,0,reg001_A,reg001,A,1,0,1,1,1_A,1.843590736,17.39870644,0,59.39188385,35.24452591,0,45.53723907,258.3463745,0,7.834526062,3.486204147,0,11.05801964,26.3435688,0,18.5474205,31.29175758,0,0,25.53063583,0,2.537432432,81.82766724,0,84.95731354,135.5637054,0,0,37.46443939,0,37.21455765,0,30.49137115,38.32834625,0,10.05702019,0,0,0,27.99751282,0,0,0,19.24998093,0,37.75258636,96.45782471,56.88808823,0,3,1,77,589,77,589,10,10120,472.3357849,74.71167755,0,561.3025513,0,655.8815918,27.16978264,36.13102341,2011.402222,3.170372486,22144,granulocytes,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Granulocyte enriched
1,1,10668,4,reg001_A,reg001,A,1,4,1,1,1_A,30.28452492,18.37573814,74.69523621,271.4201355,30.31354713,0,8.821253777,668.9785767,0,80.63930511,1.049509764,27.46443939,78.35302734,53.46650696,0,16.38648987,55.4679718,57.50486755,0,73.23709106,0,103.0374756,176.3396759,0,1864.671631,603.6920166,0,71.40329742,100.9591675,87.8743515,118.8986359,0,369.9146118,161.5243835,0,5.367031097,119.6253357,75.30351257,36.60890198,111.9797058,0,60.47932434,0,54.61504745,2.786572695,34.5173645,157.2096252,234.8349304,0.211410612,9,1,106,826,106,826,10,861,761.088501,48.30709076,1.007259965,252.1663971,0,478.4162598,160.6198578,39.13824081,3221.254883,5.373874187,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
2,2,10668,5,reg001_A,reg001,A,1,5,1,1,1_A,139.4885101,249.7469788,85.55697632,705.3693237,49.86582947,8.435891151,179.8757782,480.8117371,3.066590548,172.3403015,3.235656977,35.87612534,189.9943848,26.43546677,11.25117016,537.5612793,42.66039658,51.94031906,0,27.1336956,6.632065296,332.3015137,82.01976776,3.613922596,2774.302979,626.4950562,9.85630703,113.890686,53.3956871,36.80039215,47.53170776,9.094286919,210.2230682,130.2997437,320.2273254,7.700546741,2.399819613,83.59248352,10.53548622,49.5027504,8.470151901,67.13443756,163.3698883,624.5692749,12.54123688,13.42217922,769.0608521,119.5134811,2.804550648,10,1,107,545,107,545,10,6206,1353.695679,74.36965179,9.413396835,341.0918274,17.97414398,387.7652588,72.9103775,2.523007631,5228.32373,5.239202499,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
3,3,10668,6,reg001_A,reg001,A,1,6,1,1,1_A,20.59688568,81.759758,0,0,34.73158264,0,122.1862335,145.8300629,0,5.521087646,3.981662512,0,90.89743805,19.43864059,0,82.5916214,22.61832809,0,0.005463652,19.727108,0,136.440567,60.04795456,0,378.8945618,78.92368317,0,0,32.42210007,0,25.53913116,0,117.8304596,18.05047035,0,9.442958832,0,0,0,25.1125164,0,0,0,0,0,33.41296768,211.4650421,21.59693336,0,13,1,98,564,98,564,10,6320,844.6617432,38.61694717,0,887.1356812,0,612.506958,12.25513935,30.25466728,1259.016846,4.616237164,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
4,4,10668,30,reg001_A,reg001,A,1,30,1,1,1_A,67.32872772,122.1954727,11.02828407,325.0766907,93.77624512,0,323.3193054,987.0716553,0,63.92206192,2.220615864,5.614078999,152.5656891,51.0377121,0,361.8900146,110.6983032,12.45065975,0,84.94406128,0,559.6071777,313.0232544,0,2140.083008,733.0427246,0,16.89440536,138.5562592,0.474544317,136.6763,0,553.1992188,703.3243408,0,16.98428726,0.08799497,2.035197973,0,72.67253113,0,3.479572535,0.841609061,156.480835,85.71276093,65.93714905,627.3463135,1560.597168,0.034569453,65,1,217,329,217,329,10,1591,1746.380859,269.1539917,0,2924.110596,0,2661.427979,84.20050049,186.0747986,8041.375,5.331494331,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
5,5,10668,43,reg001_A,reg001,A,1,43,1,1,1_A,77.89614105,120.3732758,25.97819519,369.0746765,70.46560669,0.976154864,376.778595,1051.946167,0.536412597,120.4994812,2.246490955,4.540712357,151.9168854,39.45391083,0.871867239,281.0437622,110.4944305,1.451088071,0.000467,71.29264069,1.00058639,594.3320923,252.4728088,0.598946929,2323.67749,682.5322876,1.285067081,24.11782837,139.733429,2.565466404,123.4414978,0.635394692,410.9580994,426.1315308,0.627045095,17.477108,1.31029439,4.317512989,0.595172226,63.76376343,1.15203619,1757.789551,61.26320267,132.6389618,3.077229261,33.62022781,106.7690887,871.2971802,0.507184148,92,1,262,271,262,271,10,2737,1644.32605,510.4945679,1.22840333,4388.12207,1.223892689,2045.901367,64.64185333,232.6877594,6419.771973,5.530915737,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
6,6,10668,66,reg001_A,reg001,A,1,66,1,1,1_A,57.45461273,104.7001724,151.1665802,354.9871216,60.37200928,15.47645664,394.8685608,690.0223389,0,28.20824242,1.633799791,0,129.6755219,33.3273201,0,228.3770294,75.79406738,0,8.43e-06,48.12863159,0,301.9992065,134.4343872,0,947.2561646,334.0284119,0,39.16892242,70.96539307,0,80.43468475,0,287.6828918,239.0636597,0,13.06553364,0,0,0,90.46103668,0,0,0,0,32.45721817,25.0134201,0,569.5475464,0,137,1,359,495,359,495,9,5831,1412.763428,250.1343079,0,1589.116455,0,1156.516724,24.12798119,115.1221619,4070.50708,5.295395851,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
7,7,10668,93,reg001_A,reg001,A,1,93,1,1,1_A,72.14104462,109.1617661,6.992069721,241.2991943,44.78378677,0,298.2191162,726.5458984,0,42.85115814,3.769032478,2.644875526,160.6593475,30.02735901,0,137.294693,84.54837036,1.294203639,0,55.76477814,0,402.183197,136.6887665,0,962.5687866,298.6203613,0,15.73157883,85.60064697,5.697434902,70.76692963,0,209.7109375,124.3527832,0,14.8164978,0,5.230226994,0.014420741,40.38718414,0,16.25526428,33.95774841,40.38476181,0,23.1652813,0,390.170105,0,196,1,447,355,447,355,9,1209,1980.72168,397.2494202,0,823.125,0,1111.656616,46.99833298,105.1078415,6180.265137,5.231478214,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
8,8,10668,96,reg001_A,reg001,A,1,96,1,1,1_A,162.7319183,145.8772125,77.81684113,555.1330566,89.2062149,10.16673279,422.6978455,807.4173584,0.495441526,128.7086945,7.018071651,48.75740814,288.5262756,49.68927383,2.432272673,502.9650269,93.53821564,4.53387785,1.51e-09,64.50814056,0.579291821,562.0274048,191.3688507,0,1011.419739,333.0711975,0.281107098,52.56195831,94.88022614,45.6349678,109.5993195,0,413.0159607,407.9369812,0,25.77998924,12.38870239,42.08183289,3.763114452,63.18180466,0.027113544,58.31018829,4.4101758,61.93606186,24.49026489,43.54431915,19.71605492,839.6497803,0.945734143,201,1,463,335,463,335,9,4145,1876.301636,205.8730469,0.315873444,2924.483643,0.152279362,1242.877563,58.47662735,159.9801025,6212.421387,5.444194794,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
9,9,10668,105,reg001_A,reg001,A,1,105,1,1,1_A,82.00350952,133.9457245,65.59099579,439.3438721,116.8065109,0.286717743,179.8959198,572.977356,0.300127715,92.25191498,8.45210743,17.43167305,436.2021179,53.27682114,0.174329504,874.6660156,82.82471466,13.20210743,0,63.0603447,0.001596424,515.4089966,168.8151398,0,4046.89624,1011.440613,0.00798212,37.38378143,97.46136475,15.93263054,106.2515945,0,231.959137,218.5644989,258.9023132,17.12516022,2.121328115,36.9597702,1.558109879,83.87483978,0,42.21519852,164.8831482,593.7666016,0,49.35663986,8.677522659,195.4058075,0,218,1,473,229,473,229,10,3132,3144.809326,65.57886505,0.011813537,1733.707886,27.57790565,842.4259033,140.492981,27.25862122,9959.484375,5.293701172,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
