X,CellID,ClusterID,EventID,File.Name,Region,TMA_AB,TMA_12,Index.in.File,groups,patients,spots,CD44...stroma.Cyc_2_ch_2,FOXP3...regulatory.T.cells.Cyc_2_ch_3,CD8...cytotoxic.T.cells.Cyc_3_ch_2,p53...tumor.suppressor.Cyc_3_ch_3,GATA3...Th2.helper.T.cells.Cyc_3_ch_4,CD45...hematopoietic.cells.Cyc_4_ch_2,T.bet...Th1.cells.Cyc_4_ch_3,beta.catenin...Wnt.signaling.Cyc_4_ch_4,HLA.DR...MHC.II.Cyc_5_ch_2,PD.L1...checkpoint.Cyc_5_ch_3,Ki67...proliferation.Cyc_5_ch_4,CD45RA...naive.T.cells.Cyc_6_ch_2,CD4...T.helper.cells.Cyc_6_ch_3,CD21...DCs.Cyc_6_ch_4,MUC.1...epithelia.Cyc_7_ch_2,CD30...costimulator.Cyc_7_ch_3,CD2...T.cells.Cyc_7_ch_4,Vimentin...cytoplasm.Cyc_8_ch_2,CD20...B.cells.Cyc_8_ch_3,LAG.3...checkpoint.Cyc_8_ch_4,Na.K.ATPase...membranes.Cyc_9_ch_2,CD5...T.cells.Cyc_9_ch_3,IDO.1...metabolism.Cyc_9_ch_4,Cytokeratin...epithelia.Cyc_10_ch_2,CD11b...macrophages.Cyc_10_ch_3,CD56...NK.cells.Cyc_10_ch_4,aSMA...smooth.muscle.Cyc_11_ch_2,BCL.2...apoptosis.Cyc_11_ch_3,CD25...IL.2.Ra.Cyc_11_ch_4,CD11c...DCs.Cyc_12_ch_3,PD.1...checkpoint.Cyc_12_ch_4,Granzyme.B...cytotoxicity.Cyc_13_ch_2,EGFR...signaling.Cyc_13_ch_3,VISTA...costimulator.Cyc_13_ch_4,CD15...granulocytes.Cyc_14_ch_2,ICOS...costimulator.Cyc_14_ch_4,Synaptophysin...neuroendocrine.Cyc_15_ch_3,GFAP...nerves.Cyc_16_ch_2,CD7...T.cells.Cyc_16_ch_3,CD3...T.cells.Cyc_16_ch_4,Chromogranin.A...neuroendocrine.Cyc_17_ch_2,CD163...macrophages.Cyc_17_ch_3,CD45RO...memory.cells.Cyc_18_ch_3,CD68...macrophages.Cyc_18_ch_4,CD31...vasculature.Cyc_19_ch_3,Podoplanin...lymphatics.Cyc_19_ch_4,CD34...vasculature.Cyc_20_ch_3,CD38...multifunctional.Cyc_20_ch_4,CD138...plasma.cells.Cyc_21_ch_3,cell_id.cell_id,tile_nr.tile_nr,X.X,Y.Y,X_withinTile.X_withinTile,Y_withinTile.Y_withinTile,Z.Z,size.size,HOECHST1.Cyc_1_ch_1,CDX2...intestinal.epithelia.Cyc_2_ch_4,Collagen.IV...bas..memb..Cyc_12_ch_2,CD194...CCR4.chemokine.R.Cyc_14_ch_3,MMP9...matrix.metalloproteinase.Cyc_15_ch_2,CD71...transferrin.R.Cyc_15_ch_4,CD57...NK.cells.Cyc_17_ch_4,MMP12...matrix.metalloproteinase.Cyc_21_ch_4,DRAQ5.Cyc_23_ch_4,Profile_Homogeneity.Fiter1,ClusterSize,ClusterName,neighborhood10,CD4.ICOS.,CD4.Ki67.,CD4.PD.1.,CD68.CD163.ICOS.,CD68.CD163.Ki67.,CD68.CD163.PD.1.,CD68.ICOS.,CD68.Ki67.,CD68.PD.1.,CD8.ICOS.,CD8.Ki67.,CD8.PD.1.,Treg.ICOS.,Treg.Ki67.,Treg.PD.1.,neighborhood.number.final,neighborhood.name
14083,14083,10668,149031,reg037_A,reg037,A,1,88,1,19,37_A,678.1680298,477.4085083,313.2080383,805.0516968,2.673321962,0,1589.955322,2407.121094,0,475.6348877,0,171.6270599,229.575882,7.917563915,0,273.0910645,12.46967316,475.7831116,0,12.34820557,0,1489.740234,163.0741119,0,5000.417969,790.6970825,1018.383179,44.01509476,103.3423386,17.20267296,167.2020874,0,1453.166382,228.1075287,474.6756592,0,0,138.3146057,0,0,0,0,4913.165527,295.7220154,270.1437988,0,653.3046265,41.05779648,0,430,37,356,552,356,552,8,8712,534.6148071,296.1472778,0,747.2401733,0,1423.087646,20.92756653,0,1344.883423,4.794304848,22144,granulocytes,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Vascularized smooth muscle
14084,14084,10668,149051,reg037_A,reg037,A,1,108,1,19,37_A,30.79338074,87.83969879,210.4248047,2384.39502,28.17142487,141.3059692,77.57536316,1086.42041,11.02376652,0,5.484196186,367.6672974,0,23.64589882,73.47632599,54.90032578,23.18345261,304.4475708,19.29158211,33.91794205,99.71738434,94.7323761,95.77861786,51.95207596,1997.703003,395.4996338,0,0,105.8913574,32.63939285,79.46177673,54.65264893,513.9512329,293.4404602,101.2462769,9.254033089,14.509408,245.58815,45.85549545,34.97297668,106.3030548,0,2641.841553,0,145.2044678,48.43917084,387.4188843,0,46.10416031,506,37,388,1141,388,1141,6,9070,2937.968994,243.4167023,77.62995911,188.3787994,117.690712,1676.470581,18.57329369,11.15603638,2689.44751,5.411384583,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
14085,14085,10668,149136,reg037_A,reg037,A,1,193,1,19,37_A,0,0,0,475.2805176,10.23444366,0,0,907.3056641,0,0,0,0,0,0,0,0,0,0,0.812801361,0,0,0,0,0,1013.73877,340.6320496,0,0,10.62391376,0,0,0,0,198.5612488,0,0,0,0,0,0,0,0,1305.695068,0,0,0,0,373.6217346,0,751,37,534,292,534,292,7,4709,3867.163574,362.1170959,0,0,0,1304.275879,0,0,2350.668457,5.177546024,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14086,14086,10668,149145,reg037_A,reg037,A,1,202,1,19,37_A,177.7483826,202.7233276,637.7802734,725.630188,47.7740593,11.89399815,307.0689087,1347.398315,0,82.50434113,3.391299963,61.18638229,104.3597107,28.41755104,0,108.7038498,41.01423264,1746.605469,13.04154205,33.76446915,0,394.0705261,115.9806976,0,3973.088867,712.4523315,53.5448761,6.16519022,102.9837494,23.88981247,100.7626495,2.246105194,826.3361206,398.171814,2545.445068,7.966550827,743.9039917,0.486573577,0,93.64225769,0,0,4318.275879,550.3104248,512.6071777,21.09114075,2993.964355,131.1780396,0,766,37,535,565,535,565,6,4852,1482.654907,121.4060287,0,959.9807739,17.67667961,1351.328613,64.62352753,3.636883736,1790.611694,5.864980698,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14087,14087,10668,149161,reg037_A,reg037,A,1,218,1,19,37_A,219.7672119,139.3778992,192.1661682,718.3912354,45.88365936,25.26893044,214.6933746,908.5195313,0,123.9202271,4.724732876,27.48423386,123.2528839,33.48464584,0,87.60549164,41.32531738,723.4005127,15.51268005,22.24362183,0,131.5149231,113.8265152,0,2460.512451,495.4098206,0,19.91311836,142.1708527,15.26038265,93.09547424,0,717.0409546,309.7136841,0,9.314331055,0,0,0,67.70786285,0,70.94023132,2418.800293,90.397995,0,74.65535736,215.3614655,1046.948608,0,800,37,558,302,558,302,6,630,737.6282349,952.3232422,0,186.8564148,0,5172.109863,42.81270981,7.696947575,1514.628418,5.514641762,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14088,14088,10668,149174,reg037_A,reg037,A,1,231,1,19,37_A,99.71491241,44.85544968,101.3226166,197.9552155,29.30306816,104.9487076,98.0880661,290.8447266,0,0,0.444674909,48.24080658,109.8208008,22.14819908,0,160.7002106,28.35510254,0,0,21.11574936,0,0,55.81593704,0,434.1477661,124.8601379,0,552.9584961,61.01901245,49.12459946,60.91453171,0,276.6776428,114.7381516,0,1.143976808,220.2113342,0,0,0,0,0,0,0,55.53514099,9.587636948,63.38716888,17.15859222,0,831,37,567,638,567,638,6,5468,2966.032471,21.03269005,0,147.0397339,0,291.2980347,15.38612461,3.920999527,2578.475098,5.033234119,22144,granulocytes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Follicle
14089,14089,10668,149279,reg037_A,reg037,A,1,336,1,19,37_A,38.43735504,16.88731003,137.7750549,891.2553101,41.13642502,0,0,974.2296143,0,0,0,0,0,8.174941063,0,8.855363846,8.38931942,0,0,42.89624405,0,0,70.34177399,0,2278.103516,476.3159485,0,0,111.3045654,0,43.1916008,0,197.6331177,118.6118011,0,0,0,0,0,28.80835342,0,0,1850.361816,31.36774063,0,19.68458366,0,19.81524658,0,1057,37,656,530,656,530,5,4225,2043.591553,482.5123291,0,0,0,2258.304443,2.459680319,0,1900.574341,5.392167091,22144,granulocytes,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,Macrophage enriched
14090,14090,10668,149345,reg037_A,reg037,A,1,402,1,19,37_A,0,0,10.24991703,442.5410461,31.43626022,68.77338409,0,603.4550171,0,0,0,0,0,0,0,0,0,0,84.38317108,4.786098003,0,0,37.82459641,0,1077.647949,234.5043945,0,0,56.92879486,0,20.5697403,0,0,158.6002655,0,0,0,0,0,30.95318031,0,0,681.2731323,0,0,0,0,0,0,1203,37,725,302,725,302,6,6252,2188.656738,309.1716919,0,6.684875011,0,1247.657349,0,0,1870.82959,5.086135387,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14091,14091,10668,149385,reg037_A,reg037,A,1,442,1,19,37_A,0,0,64.48923492,545.3889771,8.319890976,0,0,696.0666504,0,0,0,0,0,0,0,0,0,0,20.48495293,0,0,0,0,0,1512.630371,389.6374207,0,0,16.3423214,0,0,0,0,103.506073,0,0,0,0,0,0,0,0,1909.908447,0,0,0,0,760.276123,0,1285,37,764,197,764,197,8,4576,1852.351074,214.8536987,0,0,0,1444.68103,0,0,1273.10022,5.315249443,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14092,14092,10668,149462,reg037_A,reg037,A,1,519,1,19,37_A,0,0,44.24206543,736.9416504,18.42576218,0,0,982.6903076,1.026023269,54.28210068,0,0,62.51197433,9.172067642,1.630298853,0,11.25312996,0,0,19.57805634,0,0,74.70976257,0,1439.146362,393.1545105,0,0,97.73864746,0,53.88315964,0.938937128,337.0302124,273.4341736,1.927512527,0,0,0,0,42.54850769,0,1844.14563,2139.051758,78.14355469,0,0,0,1009.95105,0,1416,37,813,141,813,141,6,3482,1481.466064,503.198822,3.520890236,68.46234131,0.633235037,1564.279785,12.11625862,0,1571.312622,5.659490585,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14093,14093,10668,149502,reg037_A,reg037,A,1,559,1,19,37_A,260.5740967,251.2496185,143.0512695,775.6101074,36.64807892,29.04566765,420.3416748,863.8959351,4.203623772,260.718689,0,62.80780411,226.812851,24.44528008,0.972409666,197.7365265,36.32077026,220.5960388,0,35.40662766,0,510.9662781,113.0286026,0,1055.67041,238.2444305,79.36590576,186.0234833,212.9443054,39.6497612,80.11183167,0,801.5422974,272.1946106,0,6.56438303,7.315851212,72.47996521,0,59.94380188,0,61.41320419,2287.171631,617.5444336,67.30718994,17.82646942,157.4671631,295.052887,0,1486,37,818,629,818,629,8,7543,1191.588135,649.4590454,3.109010458,564.7609253,0,1850.665039,73.60207367,11.11562824,1772.998657,5.305030346,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14094,14094,10668,149652,reg037_A,reg037,A,1,709,1,19,37_A,940.225769,1111.818237,602.9275513,1281.002686,78.18791962,126.5582886,1389.859375,2044.816284,75.11379242,757.1468506,19.31283188,760.7073975,758.6141357,85.87297058,94.59912109,674.6316528,108.2411041,567.6444702,0.195254415,87.77848053,106.2555237,1847.819946,262.6174011,40.06867981,6326.518066,1071.091919,198.3661194,397.0519409,284.0501099,306.4570313,232.3475342,131.4672546,1645.168457,454.8309326,1943.65271,34.47222519,176.8767395,687.9158936,100.0855408,208.7112122,144.1187592,552.598999,6483.553711,799.0037842,102.9764099,115.109726,714.5140991,177.0827942,33.99060822,1751,37,960,733,960,733,6,9381,2379.548828,935.3765869,151.2795563,1492.412354,393.9233093,8849.398438,159.2807312,33.81968307,3124.412109,5.873009682,22144,granulocytes,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Vascularized smooth muscle
14095,14095,10668,149699,reg037_A,reg037,A,1,756,1,19,37_A,0,0,120.1495819,861.9312134,44.88854218,0,0,1441.496582,0,0,0,0,0,0,0,0,0,0,0,13.52277279,0,0,71.37636566,0,2999.834229,633.5411377,0,0,86.16246033,0,65.03359222,0,214.6815338,526.2565308,0,0,0,0,0,13.34941483,0,52.18185425,2546.774414,5.761869431,0,2.407230616,0,6.722399235,0,1910,37,1045,1076,1045,1076,6,4748,3332.903076,114.4489365,0,0,0,407.663147,0.178528413,0,2981.154541,5.29037714,22144,granulocytes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Follicle
14096,14096,10668,149796,reg037_A,reg037,A,1,853,1,19,37_A,388.7070923,402.5290527,0,329.4825745,0,112.2618256,317.2427368,402.2472534,37.59749603,274.9784241,0,186.2052917,170.9542084,29.1842823,0,249.3570709,27.69882774,85.03372955,0,41.75829697,0,295.9111328,85.06880188,0,1510.854614,261.1004333,0,193.1864929,99.71395874,141.9578857,68.55186462,0,480.2904663,97.88490295,0,0.186119199,0,123.8673477,12.25823498,0,0,0,1441.786133,64.03832245,0,9.49401474,222.4946899,0,0,2104,37,1147,330,1147,330,8,8951,538.0316162,103.5615692,0,296.3431396,0,352.9934998,21.29307175,4.13348341,989.4852295,4.21289444,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
14097,14097,10668,149887,reg037_A,reg037,A,1,944,1,19,37_A,161.2286377,137.998642,143.0336304,744.0292969,58.24004364,0,109.5146255,945.2653809,0,42.37322235,0,0,79.90998077,12.27538204,0,47.68864441,17.63585854,77.70162964,0,25.68229103,0,68.32550812,86.75935364,0,1304.19397,356.4337158,0,0,87.37724304,11.15168476,60.32004166,0,272.4726868,209.2528839,0,0.100918509,0,0,0,15.23239994,0,131.8146973,2354.033691,121.8782196,0,0.024348479,0,16.58358765,0,2261,37,1209,664,1209,664,6,4411,2839.914795,463.2531738,0,156.9996033,0,1549.644653,17.85582733,0,2655.976318,5.378058434,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
