X,CellID,ClusterID,EventID,File.Name,Region,TMA_AB,TMA_12,Index.in.File,groups,patients,spots,CD44...stroma.Cyc_2_ch_2,FOXP3...regulatory.T.cells.Cyc_2_ch_3,CD8...cytotoxic.T.cells.Cyc_3_ch_2,p53...tumor.suppressor.Cyc_3_ch_3,GATA3...Th2.helper.T.cells.Cyc_3_ch_4,CD45...hematopoietic.cells.Cyc_4_ch_2,T.bet...Th1.cells.Cyc_4_ch_3,beta.catenin...Wnt.signaling.Cyc_4_ch_4,HLA.DR...MHC.II.Cyc_5_ch_2,PD.L1...checkpoint.Cyc_5_ch_3,Ki67...proliferation.Cyc_5_ch_4,CD45RA...naive.T.cells.Cyc_6_ch_2,CD4...T.helper.cells.Cyc_6_ch_3,CD21...DCs.Cyc_6_ch_4,MUC.1...epithelia.Cyc_7_ch_2,CD30...costimulator.Cyc_7_ch_3,CD2...T.cells.Cyc_7_ch_4,Vimentin...cytoplasm.Cyc_8_ch_2,CD20...B.cells.Cyc_8_ch_3,LAG.3...checkpoint.Cyc_8_ch_4,Na.K.ATPase...membranes.Cyc_9_ch_2,CD5...T.cells.Cyc_9_ch_3,IDO.1...metabolism.Cyc_9_ch_4,Cytokeratin...epithelia.Cyc_10_ch_2,CD11b...macrophages.Cyc_10_ch_3,CD56...NK.cells.Cyc_10_ch_4,aSMA...smooth.muscle.Cyc_11_ch_2,BCL.2...apoptosis.Cyc_11_ch_3,CD25...IL.2.Ra.Cyc_11_ch_4,CD11c...DCs.Cyc_12_ch_3,PD.1...checkpoint.Cyc_12_ch_4,Granzyme.B...cytotoxicity.Cyc_13_ch_2,EGFR...signaling.Cyc_13_ch_3,VISTA...costimulator.Cyc_13_ch_4,CD15...granulocytes.Cyc_14_ch_2,ICOS...costimulator.Cyc_14_ch_4,Synaptophysin...neuroendocrine.Cyc_15_ch_3,GFAP...nerves.Cyc_16_ch_2,CD7...T.cells.Cyc_16_ch_3,CD3...T.cells.Cyc_16_ch_4,Chromogranin.A...neuroendocrine.Cyc_17_ch_2,CD163...macrophages.Cyc_17_ch_3,CD45RO...memory.cells.Cyc_18_ch_3,CD68...macrophages.Cyc_18_ch_4,CD31...vasculature.Cyc_19_ch_3,Podoplanin...lymphatics.Cyc_19_ch_4,CD34...vasculature.Cyc_20_ch_3,CD38...multifunctional.Cyc_20_ch_4,CD138...plasma.cells.Cyc_21_ch_3,cell_id.cell_id,tile_nr.tile_nr,X.X,Y.Y,X_withinTile.X_withinTile,Y_withinTile.Y_withinTile,Z.Z,size.size,HOECHST1.Cyc_1_ch_1,CDX2...intestinal.epithelia.Cyc_2_ch_4,Collagen.IV...bas..memb..Cyc_12_ch_2,CD194...CCR4.chemokine.R.Cyc_14_ch_3,MMP9...matrix.metalloproteinase.Cyc_15_ch_2,CD71...transferrin.R.Cyc_15_ch_4,CD57...NK.cells.Cyc_17_ch_4,MMP12...matrix.metalloproteinase.Cyc_21_ch_4,DRAQ5.Cyc_23_ch_4,Profile_Homogeneity.Fiter1,ClusterSize,ClusterName,neighborhood10,CD4.ICOS.,CD4.Ki67.,CD4.PD.1.,CD68.CD163.ICOS.,CD68.CD163.Ki67.,CD68.CD163.PD.1.,CD68.ICOS.,CD68.Ki67.,CD68.PD.1.,CD8.ICOS.,CD8.Ki67.,CD8.PD.1.,Treg.ICOS.,Treg.Ki67.,Treg.PD.1.,neighborhood.number.final,neighborhood.name
10727,10727,10668,76985,reg021_A,reg021,A,1,95,1,11,21_A,298.7058105,355.0820313,10.55579662,334.4134216,390.3621521,0,137.1160126,979.3798218,5.733556271,136.9542542,2.578626394,0,388.7262268,273.5189209,1.792788267,142.317688,147.0619507,24.52464294,0.243748814,96.08112335,0,225.2630463,108.7463684,7.27e-07,340.8036499,167.578949,0.72925365,0,65.12586212,10.1155138,221.9548645,0,431.9870605,211.1010132,0,282.9205933,0,11.2525959,49.53511047,913.395874,0,0,1105.43689,880.5983276,0,48.96461487,0,121.0725021,0,133,21,152,329,152,329,7,4167,1637.454834,274.8111267,0.001985858,130.9392853,0,1111.441162,11.88494968,23.26486778,2491.833984,5.581724167,22144,granulocytes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
10728,10728,10668,77015,reg021_A,reg021,A,1,125,1,11,21_A,221.8282776,232.0129547,0,428.2641602,152.3074799,242.0546722,0,750.786438,0,76.72309113,0.265099555,136.9409943,262.0982971,381.5182495,0,2.214389563,75.95246124,0,0,117.0526047,2.02e-06,190.8056183,136.4343567,0,5917.171387,813.7843018,3.65e-05,0,143.8144379,135.2801056,313.375824,0,209.5516357,401.1634521,1141.114502,57.84846878,0,0,0,653.7850952,0,52.82823563,91.14465332,1383.297607,0,16.88421059,0,186.1746674,0,176,21,160,541,160,541,9,3133,2681.352539,72.80127716,7.16e-07,1174.90332,0,646.3900146,16.75561523,0,2788.174072,5.413509846,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
10729,10729,10668,77546,reg021_A,reg021,A,1,656,1,11,21_A,776.9923096,967.5114746,31.04065704,245.6439056,210.5186615,0,93.11777496,179.4735107,42.97305679,291.6436462,7.690257549,232.68927,265.8377991,50.28610992,59.76513672,258.9512329,61.77820206,204.5910492,8.754753113,49.32995987,1.820880413,96.95350647,54.34365845,0.166854173,134.6771698,40.73589325,0.482259691,2.173275709,43.95965195,1.454645395,105.94384,0.304577649,151.6893463,129.6493683,154.9910889,137.7157593,27.39592934,946.6919556,385.6098328,1670.69751,226.8819885,306.580719,2160.172119,1626.015259,131.0509949,63.80725479,315.471283,165.2989807,133.4094238,932,21,385,22,385,22,7,729,680.1661987,338.2051392,2.947208643,347.1165466,318.7849731,760.8382568,48.64161682,87.06407928,1741.827393,5.861317635,22144,granulocytes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,T cell enriched
10730,10730,10668,77824,reg021_A,reg021,A,1,934,1,11,21_A,70.28972626,197.4538422,12.9203825,795.2907104,323.7977905,20.17234039,98.69786835,1952.422729,0.051989291,106.8815536,2.28050971,28.93133736,54.86517715,545.125,0.001958366,143.1817474,70.00894928,2.403684139,23.83700371,88.78438568,0,284.3612671,132.086441,0,9863.450195,1534.318115,6.54e-05,0.062761717,157.7886963,15.45101452,351.3935547,7.51e-05,281.8701782,1923.363892,0,207.6795044,0,0,0,113.8459702,0,0,174.572525,2285.245361,86.7804184,0,3302.074463,384.6759338,0,1346,21,474,910,474,910,7,2117,3740.599365,143.1040955,0,21.7271347,0,1023.138977,0.915991783,2.091344833,3945.077637,5.468333244,22144,granulocytes,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Immune-infiltrated stroma
10731,10731,10668,77869,reg021_A,reg021,A,1,979,1,11,21_A,0,107.7688599,0,0,139.8296967,0,0,636.0946655,0,143.1790314,0.395684928,159.0140228,81.06642914,95.45864868,0,47.89834595,40.89037704,0,0,54.7855835,0,16.85266685,86.38735199,0,1229.848389,233.9064178,0.000238,0,56.61592484,0,90.76184082,0,113.6792984,111.9819031,154.9800262,15.457407,0,0,0,346.3468323,0,0,0,281.8244019,0,1.954284191,0,59.0448494,0,1413,21,490,1260,490,1260,6,2806,1731.955444,399.7814331,0,0,0,868.8435669,0,6.904346466,1374.090942,5.140042782,22144,granulocytes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Follicle
10732,10732,10668,77895,reg021_A,reg021,A,1,1005,1,11,21_A,11.88274384,189.8276825,712.8859863,334.6435852,263.3100586,0.912500203,87.42420959,1591.968262,0,0,0,0,0,333.8551636,0,0,71.22116089,0,0,95.54251862,0,60.44720078,127.1223907,0,8227.25293,1324.055908,0,0,80.49936676,0,178.7323608,0,441.4034119,514.8590088,6581.509766,69.68902588,0,0,0,143.2711487,5.01e-05,1.162155986,1001.592957,865.2650757,315.4386292,11.87258434,7031.958008,231.4074402,0,1451,21,480,930,480,930,8,2071,1514.10144,259.2475891,0,1814.0271,324.297699,1078.890259,14.23584747,8.055071831,1810.908447,5.26725626,22144,granulocytes,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Granulocyte enriched
10733,10733,10668,77908,reg021_A,reg021,A,1,1018,1,11,21_A,360.097168,469.0911865,86.9285202,686.8825684,344.6775818,19.75538445,144.0779877,995.6122437,19.24489212,302.7980347,4.692446232,194.578186,162.3256073,308.0480042,15.3841629,193.2421265,98.70029449,97.2599411,5.667023182,112.5516891,0,81.030159,94.61148834,0,1219.224731,290.481781,0,56.00283432,55.4277916,29.9622364,131.3296204,0,475.8096008,129.7588348,497.1702271,60.8570137,0.001750426,79.10853577,18.5916729,90.59727478,0.000725,26.77202034,132.3205261,197.7503815,24.37426758,56.00277328,480.2311096,338.0182495,3.511234045,1467,21,506,934,506,934,8,1658,1551.067017,286.4028015,0,244.5710144,25.00131035,1839.966431,8.887040138,22.32201004,1769.567749,5.713145256,22144,granulocytes,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,Granulocyte enriched
10734,10734,10668,78009,reg021_A,reg021,A,1,1119,1,11,21_A,0,0,47.25420761,465.2478333,244.2225342,41.99264526,0,1388.935425,0,94.75189209,0.020108743,0,110.1969376,113.6433945,0,0,239.7809448,596.1705322,0,43.77333069,2.84e-09,0,191.9254456,6.9e-11,1337.439331,337.1515503,0,24.46871376,86.7939682,131.4105377,63.93980408,0,604.1373291,408.010498,0,129.7998352,0,0,0,1188.569458,0,0,330.3298645,393.2429199,0,1136.025269,0,0,0,1606,21,555,311,555,311,6,815,554.1450806,375.4265442,0,648.0336304,0,1718.167236,0,0.052645233,656.3475342,6.067643642,22144,granulocytes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
10735,10735,10668,78022,reg021_A,reg021,A,1,1132,1,11,21_A,70.85444641,126.3621216,326.2600098,683.7932129,642.3129883,98.75685883,109.2971268,1809.67334,0,31.96741295,0.301070958,15.57884312,15.77146721,395.0621033,0,31.93752861,71.17137146,0,1.087508082,83.10861206,0.030407298,133.620697,170.5161133,0,4554.411621,863.1199951,1.32e-06,0,143.1717224,9.507395744,546.1222534,3.806787252,509.0093689,847.0128174,7198.085938,208.5447388,0,4.864905357,0.374685347,220.5039215,1.244676828,2.440164566,48.10619354,1722.203979,0,100.0299911,2.047239065,307.8692017,0.336524099,1630,21,569,86,569,86,7,3884,4768.89502,273.9179688,0,3986.180176,14.78622055,2091.965088,12.46738338,2.998645782,6345.315918,5.619002342,22144,granulocytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,T cell enriched
10736,10736,10668,78341,reg021_A,reg021,A,1,1451,1,11,21_A,561.9122925,912.5178223,85.81034088,996.0328369,39.63689041,1737.62439,674.2871094,1961.8302,0,526.8922729,3.126714468,958.9543457,1040.585083,431.5365601,0,585.3881836,126.2923508,57.45503616,100.8598785,130.8165283,0,820.4500122,126.3700562,0.00035,720.8870239,188.2227173,0,18.1481514,155.6791229,0,272.9942627,1.84e-09,1057.312622,361.6930847,0,0,0,0,0,832.854248,0,0,0,1320.149048,0,0,0,107.3443222,0,2099,21,652,1267,652,1267,7,1448,1294.767944,256.2810974,9.1e-06,705.3221436,0,590.831604,0.754972935,26.54688835,1623.163086,5.57988596,22144,granulocytes,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Follicle
